Neighborhood,BUILDING_CLASS_CATEGORY,BOROUGH,PCT,Variance_housing,Variance_crime,Variance_school,Variance_prediction_housing,Variance_prediction_crime,Variance_prediction_school,Variance_test_housing,score,rank,score_prediction,rank_predicted,rank_testing,rank_pred_eval,MIN_SALE_PRICE_2017_2018,MAX_SALE_PRICE_2017_2018,price,NUMBER_OF_SALES
Bath Beach,Two_Family,BROOKLYN,62,0.07983518357,-0.06129716783,-0.006557377049,0.01892131911,-0.08088568486,0.01294498382,0.07104667239,0.05267563869,66.09024232,0.03601654501,70.25195185,70.25195185,0,150000,4680000,1150971.793,58
Country Club,One_Family,BRONX,45,0.1758109371,-0.04420403653,-0.07446808511,-0.08606778486,-0.01116504854,-0.02,0.2098156456,0.07375911136,70.33684087,-0.04038098862,57.24002482,57.24002482,0,155000,1535000,499407.4493,69
Castle Hill,Coops-Walkup,BRONX,43,0.1482682121,-0.08168790457,-0.01634763636,0.07369585502,-0.02424646445,0.02396443406,0.115682962,0.08714015774,-1,-1,-1,-1,0,-1,-1,-1,null
Dyker Heights,Three_Family,BROOKLYN,68,0.1071431771,0.005630113062,-0.0125,0.02429328289,0.04791013466,0.03039513678,0.09616461274,0.04340039578,64.22203807,0.004157721096,64.82579904,64.82579904,0,900000,2500000,1358523.81,21
East Village,Condos-Walkup,MANHATTAN,9,-0.6389571429,-0.1020739933,0.007013292208,0.451769183,2.38E-04,0.01402658442,-1.1172,-0.2551551932,-1,-1,-1,-1,0,-1,-1,-1,null
Kingsbridge,Two_Family,BRONX,50,0.06014634837,-0.04602577019,0.01419457141,0.212655565,0.01853200412,0.04656190136,-0.05167603203,0.04442223067,64.42785439,0.1017758784,81.45199465,81.45199465,0,288750,995000,579416.6667,15
Mill Basin,Coops-Elevator,BROOKLYN,63,0.02204563953,-0.08564491114,0.00182748538,0.1327815549,-0.01484015572,0.09154437456,-0.04749860741,0.03607088247,-1,-1,-1,-1,0,-1,-1,-1,null
Morrisania,Condos-Walkup,BRONX,42,0.314701061,-0.01524550237,0.01486642168,0.1052421943,0.05636415158,0.02755740001,0.2766369011,0.1499057336,85.67416887,0.03733909196,70.4772063,70.4772063,0,125000,260000,169073.1429,7
West Village,Two_Family,MANHATTAN,6,0.1161456704,0.01029335004,0.06540900444,-0.1361973962,-0.113707304,-0.001833616299,0.1724975125,0.06552979778,68.679306,-0.02763504117,59.41089776,59.41089776,0,3200000,1.58E+07,8933750,8
City Island,Two_Family,BRONX,45,-0.08913351797,-0.04420403653,0.09803921569,0.3163716396,-0.01116504854,0.04255319149,-0.2937932665,-0.002339068209,55.00927011,0.1563550502,90.74784712,90.74784712,0,302500,730000,484375,8
