OBJECTID,the_geom,Name,Stacked,AnnoLine1,AnnoLine2,AnnoLine3,AnnoAngle,Borough
1,POINT (-73.8472005205491 40.89470517661004),Wakefield,1,Wakefield,,,0,Bronx
2,POINT (-73.82993910812405 40.87429419303015),Co-op City,2,Co-op,City,,0,Bronx
3,POINT (-73.82780644716419 40.88755567735082),Eastchester,1,Eastchester,,,0,Bronx
4,POINT (-73.90564259591689 40.895437426903875),Fieldston,1,Fieldston,,,0,Bronx
5,POINT (-73.91258546108577 40.89083449389134),Riverdale,1,Riverdale,,,0,Bronx
6,POINT (-73.90281798724611 40.88168737120525),Kingsbridge,1,Kingsbridge,,,0,Bronx
7,POINT (-73.91065965862988 40.87655077879968),Marble Hill,2,Marble,Hill,,0,Manhattan
8,POINT (-73.86731496814183 40.898272612138086),Woodlawn,1,Woodlawn,,,0,Bronx
9,POINT (-73.87939073956817 40.877224155994504),Norwood,1,Norwood,,,0,Bronx
10,POINT (-73.85744642974214 40.88103887819214),Williamsbridge,1,Williamsbridge,,,0,Bronx
11,POINT (-73.83579759808124 40.86685810725274),Baychester,1,Baychester,,,0,Bronx
12,POINT (-73.85475564018006 40.85741349808869),Pelham Parkway,1,Pelham Parkway,,,0,Bronx
13,POINT (-73.7864884526742 40.84724670491817),City Island,2,City,Island,,0,Bronx
14,POINT (-73.88551218419137 40.87018516497537),Bedford Park,2,Bedford,Park,,0,Bronx
15,POINT (-73.91041596191317 40.85572707719668),University Heights,2,University,Heights,,0,Bronx
16,POINT (-73.91967159119572 40.84789792606274),Morris Heights,2,Morris,Heights,,0,Bronx
17,POINT (-73.8964265598163 40.86099679638657),Fordham,1,Fordham,,,0,Bronx
18,POINT (-73.88735617532345 40.84269615786057),East Tremont,2,East,Tremont,,0,Bronx
19,POINT (-73.87774474910552 40.83947505672657),West Farms,2,West,Farms,,0,Bronx
20,POINT (-73.92610209358138 40.8366230107061),High  Bridge,2,High,Bridge,,0,Bronx
21,POINT (-73.90942160757443 40.81975437059498),Melrose,1,Melrose,,,0,Bronx
22,POINT (-73.91609987487583 40.80623874935181),Mott Haven,1,Mott Haven,,,0,Bronx
23,POINT (-73.91322139386142 40.80166362775625),Port Morris,2,Port,Morris,,0,Bronx
24,POINT (-73.89578820094466 40.815099045458254),Longwood,1,Longwood,,,0,Bronx
25,POINT (-73.88331505955298 40.809729879387135),Hunts Point,2,Hunts,Point,,0,Bronx
26,POINT (-73.90150648943066 40.82359198585537),Morrisania,1,Morrisania,,,0,Bronx
27,POINT (-73.86574609554933 40.82101219791406),Soundview,1,Soundview,,,0,Bronx
28,POINT (-73.85414416189273 40.806551120035934),Clason Point,2,Clason,Point,,0,Bronx
29,POINT (-73.8163500215845 40.815109258040096),Throgs Neck,1,Throgs Neck,,,0,Bronx
30,POINT (-73.82409926753857 40.84424593694742),Country Club,2,Country,Club,,0,Bronx
31,POINT (-73.8560031053579 40.83793782226733),Parkchester,1,Parkchester,,,0,Bronx
32,POINT (-73.8421940760445 40.840619496432744),Westchester Square,2,Westchester,Square,,0,Bronx
33,POINT (-73.86629918075617 40.84360847124722),Van Nest,2,Van,Nest,,0,Bronx
34,POINT (-73.85040178030428 40.84754906353638),Morris Park,1,Morris Park,,,0,Bronx
35,POINT (-73.88845196134812 40.85727710073898),Belmont,1,Belmont,,,0,Bronx
36,POINT (-73.917190482104 40.8813949772709),Spuyten Duyvil,2,Spuyten,Duyvil,,0,Bronx
37,POINT (-73.90453054908934 40.9085428295067),North Riverdale,2,North,Riverdale,,0,Bronx
38,POINT (-73.83207378240478 40.85064140940339),Pelham Bay,2,Pelham,Bay,,0,Bronx
39,POINT (-73.82620275994081 40.82657951686926),Schuylerville,1,Schuylerville,,,0,Bronx
40,POINT (-73.81388514428627 40.82198611816354),Edgewater Park,2,Edgewater,Park,,0,Bronx
41,POINT (-73.84802729582742 40.81901437698835),Castle Hill,2,Castle,Hill,,0,Bronx
42,POINT (-73.86332361652784 40.87137078192375),Olinville,1,Olinville,,,0,Bronx
43,POINT (-73.8416119483123 40.862965624780024),Pelham Gardens,2,Pelham,Gardens,,0,Bronx
44,POINT (-73.91558941773451 40.834283807338544),Concourse,1,Concourse,,,0,Bronx
45,POINT (-73.85053524451942 40.82977429787165),Unionport,1,Unionport,,,0,Bronx
46,POINT (-73.84808271877175 40.88456130303736),Edenwald,1,Edenwald,,,0,Bronx
47,POINT (-74.03062069353821 40.62580106501069),Bay Ridge,1,Bay Ridge,,,0,Brooklyn
48,POINT (-73.99517998380736 40.61100890202048),Bensonhurst,1,Bensonhurst,,,0,Brooklyn
49,POINT (-74.01031618527792 40.64510294925433),Sunset Park,2,Sunset,Park,,0,Brooklyn
50,POINT (-73.954240931274 40.730200984864744),Greenpoint,1,Greenpoint,,,0,Brooklyn
51,POINT (-73.97347087708452 40.59526001306597),Gravesend,1,Gravesend,,,0,Brooklyn
52,POINT (-73.96509448785343 40.576825065666085),Brighton Beach,2,Brighton,Beach,,0,Brooklyn
53,POINT (-73.94318640482987 40.58689012678388),Sheepshead Bay,2,Sheepshead,Bay,,0,Brooklyn
54,POINT (-73.95743840559946 40.61443251335102),Manhattan Terrace,2,Manhattan,Terrace,,0,Brooklyn
55,POINT (-73.95840106533912 40.63632589026681),Flatbush,1,Flatbush,,,0,Brooklyn
56,POINT (-73.9432911907359 40.67082917695298),Crown Heights,2,Crown,Heights,,0,Brooklyn
57,POINT (-73.93610256185843 40.64171776668965),East Flatbush,1,East Flatbush,,,0,Brooklyn
58,POINT (-73.98042110559481 40.64238195800357),Kensington,1,Kensington,,,0,Brooklyn
59,POINT (-73.98007340430179 40.65694583575108),Windsor Terrace,2,Windsor,Terrace,,0,Brooklyn
60,POINT (-73.96485924262697 40.67682226225477),Prospect Heights,2,Prospect,Heights,,0,Brooklyn
61,POINT (-73.91023536176615 40.66394994339758),Brownsville,1,Brownsville,,,0,Brooklyn
62,POINT (-73.95811529220936 40.70714439344255),Williamsburg,1,Williamsburg,,,0,Brooklyn
63,POINT (-73.92525797487053 40.69811611017905),Bushwick,1,Bushwick,,,0,Brooklyn
64,POINT (-73.94178488690304 40.6872316077205),Bedford Stuyvesant,1,Bedford Stuyvesant,,,0,Brooklyn
65,POINT (-73.99378225496432 40.69586372272413),Brooklyn Heights,2,Brooklyn,Heights,,0,Brooklyn
66,POINT (-73.9985613921847 40.68791972248561),Cobble Hill,2,Cobble,Hill,,0,Brooklyn
67,POINT (-74.00037274122076 40.68213188564184),Carroll Gardens,2,Carroll,Gardens,,0,Brooklyn
68,POINT (-74.01275897473568 40.67625323025092),Red Hook,2,Red,Hook,,0,Brooklyn
69,POINT (-73.99444087145346 40.6739311431872),Gowanus,1,Gowanus,,,0,Brooklyn
70,POINT (-73.97290574369099 40.688527260189815),Fort Greene,2,Fort,Greene,,0,Brooklyn
71,POINT (-73.97705030183931 40.672320522682014),Park Slope,2,Park,Slope,,0,Brooklyn
72,POINT (-73.87583132262635 40.6846357939163),Cypress Hills,2,Cypress,Hills,,0,Brooklyn
73,POINT (-73.88069863917373 40.66992570084708),East New York,1,East New York,,,0,Brooklyn
74,POINT (-73.87936970045882 40.64758905230878),Starrett City,2,Starrett,City,,0,Brooklyn
75,POINT (-73.90209269778973 40.63556432797432),Canarsie,1,Canarsie,,,0,Brooklyn
76,POINT (-73.92911302644681 40.6304460437575),Flatlands,1,Flatlands,,,0,Brooklyn
77,POINT (-73.90818571777432 40.60633642168567),Mill Island,2,Mill,Island,,0,Brooklyn
78,POINT (-73.94353722891894 40.57791350308661),Manhattan Beach,2,Manhattan,Beach,,0,Brooklyn
79,POINT (-73.98868295821644 40.57429256471605),Coney Island,1,Coney Island,,,0,Brooklyn
80,POINT (-73.99875221443526 40.599518702822415),Bath Beach,2,Bath,Beach,,0,Brooklyn
81,POINT (-73.99049823044818 40.63313051275805),Borough Park,2,Borough,Park,,0,Brooklyn
82,POINT (-74.01931375636029 40.61921945772268),Dyker Heights,2,Dyker,Heights,,0,Brooklyn
83,POINT (-73.93010170691203 40.59084843390208),Gerritsen Beach,2,Gerritsen,Beach,,0,Brooklyn
84,POINT (-73.93134404108504 40.60974777989464),Marine Park,1,Marine Park,,,0,Brooklyn
85,POINT (-73.96784306216374 40.69322942188155),Clinton Hill,2,Clinton,Hill,,0,Brooklyn
86,POINT (-74.00787311200247 40.576375378902284),Sea Gate,2,Sea,Gate,,0,Brooklyn
87,POINT (-73.98346337431106 40.69084402109806),Downtown,2,Down-,town,,0,Brooklyn
